Month,Base,Lat_Grid,Lon_Grid,Total_Trips
Apr,B02512,40.58,-73.97,1
Apr,B02512,40.58,-73.96000000000001,3
Apr,B02512,40.59,-73.97,1
Apr,B02512,40.59,-73.94,1
Apr,B02512,40.6,-74,1
Apr,B02512,40.6,-73.97,5
Apr,B02512,40.6,-73.95,1
Apr,B02512,40.6,-73.94,1
Apr,B02512,40.61,-74.02,1
Apr,B02512,40.61,-74.01,2
Apr,B02512,40.61,-73.97,1
Apr,B02512,40.61,-73.95,1
Apr,B02512,40.61,-73.94,1
Apr,B02512,40.61,-73.93,2
Apr,B02512,40.61,-73.92,1
Apr,B02512,40.62,-74.03,12
Apr,B02512,40.62,-74.02,4
Apr,B02512,40.62,-74.01,1
Apr,B02512,40.62,-74,1
Apr,B02512,40.62,-73.99,1
Apr,B02512,40.62,-73.97,1
Apr,B02512,40.62,-73.96000000000001,1
Apr,B02512,40.62,-73.95,2
Apr,B02512,40.62,-73.94,1
Apr,B02512,40.62,-73.93,2
Apr,B02512,40.62,-73.92,1
Apr,B02512,40.63,-74.03,4
Apr,B02512,40.63,-74.02,1
Apr,B02512,40.63,-74.01,1
Apr,B02512,40.63,-74,3
Apr,B02512,40.63,-73.97,3
Apr,B02512,40.63,-73.96000000000001,4
Apr,B02512,40.63,-73.95,1
Apr,B02512,40.63,-73.94,2
Apr,B02512,40.63,-73.92,4
Apr,B02512,40.63,-73.91,3
Apr,B02512,40.63,-73.9,2
Apr,B02512,40.63,-73.89,3
Apr,B02512,40.64,-74.08,1
Apr,B02512,40.64,-74.04,1
Apr,B02512,40.64,-74.03,1
Apr,B02512,40.64,-74.01,2
Apr,B02512,40.64,-73.98,1
Apr,B02512,40.64,-73.97,5
Apr,B02512,40.64,-73.96000000000001,3
Apr,B02512,40.64,-73.95,1
Apr,B02512,40.64,-73.94,1
Apr,B02512,40.64,-73.92,4
Apr,B02512,40.64,-73.91,1
Apr,B02512,40.64,-73.9,1
Apr,B02512,40.64,-73.89,1
Apr,B02512,40.64,-73.8,1
Apr,B02512,40.64,-73.79,82
Apr,B02512,40.64,-73.78,129
Apr,B02512,40.64,-73.73,2
Apr,B02512,40.65,-74.12,2
Apr,B02512,40.65,-74.02,1
Apr,B02512,40.65,-74.01,7
Apr,B02512,40.65,-73.98,3
Apr,B02512,40.65,-73.97,4
Apr,B02512,40.65,-73.96000000000001,9
Apr,B02512,40.65,-73.95,4
Apr,B02512,40.65,-73.94,1
Apr,B02512,40.65,-73.92,2
Apr,B02512,40.65,-73.91,1
Apr,B02512,40.65,-73.9,1
Apr,B02512,40.65,-73.88,3
Apr,B02512,40.65,-73.85000000000001,1
Apr,B02512,40.65,-73.84,1
Apr,B02512,40.65,-73.79,145
Apr,B02512,40.65,-73.78,192
Apr,B02512,40.660000000000004,-74.09,1
Apr,B02512,40.660000000000004,-74.01,4
Apr,B02512,40.660000000000004,-74,5
Apr,B02512,40.660000000000004,-73.99,5
Apr,B02512,40.660000000000004,-73.98,10
Apr,B02512,40.660000000000004,-73.97,1
Apr,B02512,40.660000000000004,-73.96000000000001,16
Apr,B02512,40.660000000000004,-73.95,6
Apr,B02512,40.660000000000004,-73.94,4
Apr,B02512,40.660000000000004,-73.93,5
Apr,B02512,40.660000000000004,-73.92,5
Apr,B02512,40.660000000000004,-73.91,4
Apr,B02512,40.660000000000004,-73.9,1
Apr,B02512,40.660000000000004,-73.89,1
Apr,B02512,40.660000000000004,-73.88,2
Apr,B02512,40.660000000000004,-73.8,1
Apr,B02512,40.660000000000004,-73.79,1
Apr,B02512,40.660000000000004,-73.77,1
Apr,B02512,40.660000000000004,-73.74,2
Apr,B02512,40.660000000000004,-73.72,1
Apr,B02512,40.67,-74.10000000000001,1
