Date,Month,Weekday,DayType,Hour,Base,Total_Trips
2014-04-01,Apr,Tue,Weekday,0,B02512,9
2014-04-01,Apr,Tue,Weekday,0,B02598,35
2014-04-01,Apr,Tue,Weekday,0,B02617,29
2014-04-01,Apr,Tue,Weekday,0,B02682,60
2014-04-01,Apr,Tue,Weekday,0,B02764,5
2014-04-01,Apr,Tue,Weekday,1,B02512,4
2014-04-01,Apr,Tue,Weekday,1,B02598,18
2014-04-01,Apr,Tue,Weekday,1,B02617,18
2014-04-01,Apr,Tue,Weekday,1,B02682,22
2014-04-01,Apr,Tue,Weekday,1,B02764,4
2014-04-01,Apr,Tue,Weekday,2,B02512,4
2014-04-01,Apr,Tue,Weekday,2,B02598,15
2014-04-01,Apr,Tue,Weekday,2,B02617,9
2014-04-01,Apr,Tue,Weekday,2,B02682,24
2014-04-01,Apr,Tue,Weekday,2,B02764,1
2014-04-01,Apr,Tue,Weekday,3,B02512,4
2014-04-01,Apr,Tue,Weekday,3,B02598,24
2014-04-01,Apr,Tue,Weekday,3,B02617,18
2014-04-01,Apr,Tue,Weekday,3,B02682,46
2014-04-01,Apr,Tue,Weekday,3,B02764,1
2014-04-01,Apr,Tue,Weekday,4,B02512,9
2014-04-01,Apr,Tue,Weekday,4,B02598,45
2014-04-01,Apr,Tue,Weekday,4,B02617,33
2014-04-01,Apr,Tue,Weekday,4,B02682,73
2014-04-01,Apr,Tue,Weekday,4,B02764,6
2014-04-01,Apr,Tue,Weekday,5,B02512,24
2014-04-01,Apr,Tue,Weekday,5,B02598,87
2014-04-01,Apr,Tue,Weekday,5,B02617,67
2014-04-01,Apr,Tue,Weekday,5,B02682,146
2014-04-01,Apr,Tue,Weekday,5,B02764,9
2014-04-01,Apr,Tue,Weekday,6,B02512,45
2014-04-01,Apr,Tue,Weekday,6,B02598,174
2014-04-01,Apr,Tue,Weekday,6,B02617,183
2014-04-01,Apr,Tue,Weekday,6,B02682,306
2014-04-01,Apr,Tue,Weekday,6,B02764,14
2014-04-01,Apr,Tue,Weekday,7,B02512,63
2014-04-01,Apr,Tue,Weekday,7,B02598,231
2014-04-01,Apr,Tue,Weekday,7,B02617,241
2014-04-01,Apr,Tue,Weekday,7,B02682,446
2014-04-01,Apr,Tue,Weekday,7,B02764,20
2014-04-01,Apr,Tue,Weekday,8,B02512,50
2014-04-01,Apr,Tue,Weekday,8,B02598,174
2014-04-01,Apr,Tue,Weekday,8,B02617,202
2014-04-01,Apr,Tue,Weekday,8,B02682,341
2014-04-01,Apr,Tue,Weekday,8,B02764,13
2014-04-01,Apr,Tue,Weekday,9,B02512,35
2014-04-01,Apr,Tue,Weekday,9,B02598,133
2014-04-01,Apr,Tue,Weekday,9,B02617,114
2014-04-01,Apr,Tue,Weekday,9,B02682,239
2014-04-01,Apr,Tue,Weekday,9,B02764,11
2014-04-01,Apr,Tue,Weekday,10,B02512,42
2014-04-01,Apr,Tue,Weekday,10,B02598,120
2014-04-01,Apr,Tue,Weekday,10,B02617,104
2014-04-01,Apr,Tue,Weekday,10,B02682,202
2014-04-01,Apr,Tue,Weekday,10,B02764,9
2014-04-01,Apr,Tue,Weekday,11,B02512,55
2014-04-01,Apr,Tue,Weekday,11,B02598,155
2014-04-01,Apr,Tue,Weekday,11,B02617,115
2014-04-01,Apr,Tue,Weekday,11,B02682,208
2014-04-01,Apr,Tue,Weekday,11,B02764,14
2014-04-01,Apr,Tue,Weekday,12,B02512,49
2014-04-01,Apr,Tue,Weekday,12,B02598,122
2014-04-01,Apr,Tue,Weekday,12,B02617,95
2014-04-01,Apr,Tue,Weekday,12,B02682,190
2014-04-01,Apr,Tue,Weekday,12,B02764,13
2014-04-01,Apr,Tue,Weekday,13,B02512,53
2014-04-01,Apr,Tue,Weekday,13,B02598,152
2014-04-01,Apr,Tue,Weekday,13,B02617,118
2014-04-01,Apr,Tue,Weekday,13,B02682,257
2014-04-01,Apr,Tue,Weekday,13,B02764,11
2014-04-01,Apr,Tue,Weekday,14,B02512,51
2014-04-01,Apr,Tue,Weekday,14,B02598,192
2014-04-01,Apr,Tue,Weekday,14,B02617,174
2014-04-01,Apr,Tue,Weekday,14,B02682,299
2014-04-01,Apr,Tue,Weekday,14,B02764,20
2014-04-01,Apr,Tue,Weekday,15,B02512,61
2014-04-01,Apr,Tue,Weekday,15,B02598,238
2014-04-01,Apr,Tue,Weekday,15,B02617,220
2014-04-01,Apr,Tue,Weekday,15,B02682,426
2014-04-01,Apr,Tue,Weekday,15,B02764,22
2014-04-01,Apr,Tue,Weekday,16,B02512,76
2014-04-01,Apr,Tue,Weekday,16,B02598,296
2014-04-01,Apr,Tue,Weekday,16,B02617,238
2014-04-01,Apr,Tue,Weekday,16,B02682,515
2014-04-01,Apr,Tue,Weekday,16,B02764,27
2014-04-01,Apr,Tue,Weekday,17,B02512,83
2014-04-01,Apr,Tue,Weekday,17,B02598,336
2014-04-01,Apr,Tue,Weekday,17,B02617,297
2014-04-01,Apr,Tue,Weekday,17,B02682,515
2014-04-01,Apr,Tue,Weekday,17,B02764,31
2014-04-01,Apr,Tue,Weekday,18,B02512,67
2014-04-01,Apr,Tue,Weekday,18,B02598,314
2014-04-01,Apr,Tue,Weekday,18,B02617,238
2014-04-01,Apr,Tue,Weekday,18,B02682,484
2014-04-01,Apr,Tue,Weekday,18,B02764,19
2014-04-01,Apr,Tue,Weekday,19,B02512,72
2014-04-01,Apr,Tue,Weekday,19,B02598,270
2014-04-01,Apr,Tue,Weekday,19,B02617,202
2014-04-01,Apr,Tue,Weekday,19,B02682,451
2014-04-01,Apr,Tue,Weekday,19,B02764,23
2014-04-01,Apr,Tue,Weekday,20,B02512,50
2014-04-01,Apr,Tue,Weekday,20,B02598,168
2014-04-01,Apr,Tue,Weekday,20,B02617,123
2014-04-01,Apr,Tue,Weekday,20,B02682,242
2014-04-01,Apr,Tue,Weekday,20,B02764,14
2014-04-01,Apr,Tue,Weekday,21,B02512,56
2014-04-01,Apr,Tue,Weekday,21,B02598,226
2014-04-01,Apr,Tue,Weekday,21,B02617,193
2014-04-01,Apr,Tue,Weekday,21,B02682,383
2014-04-01,Apr,Tue,Weekday,21,B02764,20
2014-04-01,Apr,Tue,Weekday,22,B02512,34
2014-04-01,Apr,Tue,Weekday,22,B02598,142
2014-04-01,Apr,Tue,Weekday,22,B02617,115
2014-04-01,Apr,Tue,Weekday,22,B02682,229
2014-04-01,Apr,Tue,Weekday,22,B02764,9
2014-04-01,Apr,Tue,Weekday,23,B02512,15
2014-04-01,Apr,Tue,Weekday,23,B02598,71
2014-04-01,Apr,Tue,Weekday,23,B02617,73
2014-04-01,Apr,Tue,Weekday,23,B02682,151
2014-04-01,Apr,Tue,Weekday,23,B02764,7
2014-04-02,Apr,Wed,Weekday,0,B02512,9
2014-04-02,Apr,Wed,Weekday,0,B02598,35
2014-04-02,Apr,Wed,Weekday,0,B02617,34
2014-04-02,Apr,Wed,Weekday,0,B02682,80
2014-04-02,Apr,Wed,Weekday,0,B02764,3
2014-04-02,Apr,Wed,Weekday,1,B02512,4
2014-04-02,Apr,Wed,Weekday,1,B02598,25
2014-04-02,Apr,Wed,Weekday,1,B02617,19
2014-04-02,Apr,Wed,Weekday,1,B02682,31
