Lat_Grid,Lon_Grid,Total_Trips,Percentage
40.76,-73.98,226692,5.08
40.76,-73.97,215585,4.831
40.74,-73.99,192517,4.314
40.75,-73.99,172188,3.858
40.72,-74,167633,3.756
40.75,-73.98,159776,3.58
40.730000000000004,-74,158561,3.553
40.730000000000004,-73.99,141765,3.177
40.74,-74,135782,3.043
40.76,-73.99,120829,2.708
40.72,-73.99,111604,2.501
40.72,-74.01,107974,2.42
40.71,-74.01,103603,2.322
40.74,-74.01,101066,2.265
40.77,-73.96000000000001,87041,1.95
40.74,-73.98,83703,1.876
40.77,-73.98,79427,1.78
40.730000000000004,-74.01,71880,1.611
40.730000000000004,-73.98,71146,1.594
40.75,-73.97,69997,1.569
40.75,-74,67751,1.518
40.78,-73.98,61512,1.378
40.77,-73.87,60765,1.362
40.78,-73.96000000000001,57602,1.291
40.78,-73.95,53920,1.208
40.76,-74,52041,1.166
40.72,-73.96000000000001,45862,1.028
40.77,-73.95,44951,1.007
40.77,-73.99,44093,0.988
40.76,-73.96000000000001,42754,0.958
40.77,-73.97,39057,0.875
40.72,-73.98,38938,0.873
40.65,-73.78,36784,0.824
40.75,-74.01,35617,0.798
40.64,-73.78,34852,0.781
40.79,-73.97,32609,0.731
40.71,-73.96000000000001,26599,0.596
40.7,-73.99,25466,0.571
40.7,-74.01,25275,0.566
40.69,-73.99,25184,0.564
40.79,-73.98,25032,0.561
40.77,-73.86,25000,0.56
40.71,-74.02,21038,0.471
40.72,-73.95,20821,0.467
40.71,-73.95,20167,0.452
40.71,-74,19618,0.44
40.68,-73.98,18063,0.405
40.69,-73.97,17622,0.395
40.65,-73.79,17318,0.388
40.69,-73.98,16375,0.367
40.74,-73.97,15764,0.353
40.800000000000004,-73.97,15664,0.351
40.64,-73.79,14869,0.333
40.78,-73.99,14582,0.327
40.67,-73.98,14374,0.322
40.71,-73.94,13837,0.31
40.68,-73.97,13601,0.305
40.69,-74,12915,0.289
40.68,-73.96000000000001,12408,0.278
40.69,-73.96000000000001,12370,0.277
40.78,-73.97,12046,0.27
40.79,-73.95,12029,0.27
40.7,-73.93,11404,0.256
40.71,-73.97,11310,0.253
40.730000000000004,-73.96000000000001,11255,0.252
40.68,-74,11207,0.251
40.68,-73.99,10567,0.237
40.77,-73.89,10149,0.227
40.730000000000004,-73.95,10014,0.224
40.72,-74.02,9889,0.222
40.71,-73.99,9760,0.219
40.72,-73.94,9486,0.213
40.81,-73.96000000000001,9252,0.207
40.67,-73.99,9187,0.206
40.75,-73.94,8848,0.198
40.67,-73.96000000000001,8703,0.195
40.800000000000004,-73.96000000000001,8318,0.186
40.7,-73.98,7962,0.178
40.81,-73.95,7878,0.177
40.69,-73.95,7620,0.171
40.75,-73.96000000000001,7323,0.164
40.68,-73.95,7299,0.164
40.800000000000004,-73.95,6534,0.146
40.76,-73.92,6409,0.144
40.67,-73.97,6258,0.14
40.660000000000004,-73.98,6254,0.14
40.81,-73.94,6212,0.139
40.74,-74.03,6097,0.137
40.77,-73.92,5730,0.128
40.7,-73.92,5693,0.128
40.69,-73.94,5424,0.122
40.74,-73.96000000000001,5421,0.121
40.75,-74.03,5397,0.121
40.660000000000004,-73.99,5387,0.121
40.7,-73.94,5348,0.12
40.75,-73.95,5346,0.12
40.67,-73.95,5290,0.119
40.82,-73.94,5001,0.112
40.800000000000004,-73.94,4947,0.111
40.71,-73.93,4779,0.107
40.74,-73.95,4772,0.107
40.71,-73.92,4681,0.105
40.79,-73.96000000000001,4676,0.105
40.84,-73.94,4670,0.105
40.68,-74.01,4612,0.103
40.68,-73.94,4512,0.101
40.7,-73.97,4436,0.099
40.69,-73.92,4294,0.096
40.82,-73.95,4067,0.091
40.71,-73.98,3897,0.087
40.69,-73.93,3819,0.086
40.76,-73.93,3776,0.085
40.7,-74,3746,0.084
40.730000000000004,-73.94,3718,0.083
40.85,-73.94,3700,0.083
40.660000000000004,-73.96000000000001,3639,0.082
40.83,-73.93,3628,0.081
40.79,-73.94,3618,0.081
40.72,-74.04,3531,0.079
40.83,-73.94,3461,0.078
40.78,-73.94,3382,0.076
40.77,-73.91,3354,0.075
40.74,-73.92,3258,0.073
40.65,-73.96000000000001,3234,0.072
40.76,-73.95,3219,0.072
40.74,-74.04,3141,0.07
40.7,-73.95,3062,0.069
40.69,-73.91,3040,0.068
40.68,-73.93,3014,0.068
40.67,-73.94,2930,0.066
40.77,-74,2898,0.065
40.67,-74.01,2844,0.064
40.800000000000004,-73.93,2759,0.062
40.77,-73.93,2677,0.06
40.660000000000004,-73.95,2660,0.06
40.76,-73.91,2646,0.059
40.75,-73.85000000000001,2597,0.058
40.730000000000004,-73.97,2502,0.056
40.7,-73.96000000000001,2499,0.056
40.83,-73.95,2494,0.056
40.68,-74.02,2394,0.054
40.7,-73.91,2375,0.053
40.75,-73.93,2360,0.053
40.64,-73.97,2297,0.051
40.82,-73.96000000000001,2243,0.05
40.74,-73.93,2229,0.05
40.77,-73.88,2200,0.049
40.85,-73.93,2119,0.047
40.78,-73.91,2086,0.047
40.730000000000004,-74.04,2057,0.046
40.65,-73.97,2056,0.046
40.76,-73.83,2027,0.045
40.660000000000004,-74,1931,0.043
40.81,-73.97,1915,0.043
40.72,-73.84,1891,0.042
40.75,-73.92,1866,0.042
40.62,-74.03,1823,0.041
40.74,-73.84,1788,0.04
40.83,-73.92,1776,0.04
40.75,-73.89,1767,0.04
40.64,-73.96000000000001,1717,0.038
40.65,-73.98,1684,0.038
40.67,-73.93,1671,0.037
40.89,-73.91,1662,0.037
40.72,-74.03,1646,0.037
