Date/Time,Lat,Lon,Base,Hour,Day,Date,Month,Weekday,DayType
8/29/2014 10:13:00,40.7073,-73.7725,B02617,10,29,2014-08-29,Aug,Fri,Weekday
9/24/2014 18:48:00,40.7512,-73.9895,B02682,18,24,2014-09-24,Sep,Wed,Weekday
5/21/2014 9:57:00,40.7588,-73.9856,B02682,9,21,2014-05-21,May,Wed,Weekday
8/27/2014 22:08:00,40.7483,-73.9849,B02617,22,27,2014-08-27,Aug,Wed,Weekday
8/15/2014 19:58:00,40.6986,-73.9205,B02617,19,15,2014-08-15,Aug,Fri,Weekday
6/4/2014 17:39:00,40.7563,-73.9778,B02682,17,4,2014-06-04,Jun,Wed,Weekday
8/2/2014 22:09:00,40.679,-74.0112,B02598,22,2,2014-08-02,Aug,Sat,Weekend
6/13/2014 9:36:00,40.7659,-73.9887,B02682,9,13,2014-06-13,Jun,Fri,Weekday
4/27/2014 13:25:00,40.8825,-73.897,B02598,13,27,2014-04-27,Apr,Sun,Weekend
6/14/2014 12:58:00,40.6528,-73.965,B02617,12,14,2014-06-14,Jun,Sat,Weekend
8/15/2014 23:21:00,40.7433,-73.973,B02598,23,15,2014-08-15,Aug,Fri,Weekday
6/26/2014 17:30:00,40.707,-74.0165,B02598,17,26,2014-06-26,Jun,Thu,Weekday
4/28/2014 5:59:00,40.7234,-74.0061,B02682,5,28,2014-04-28,Apr,Mon,Weekday
9/27/2014 0:46:00,40.7639,-73.9975,B02764,0,27,2014-09-27,Sep,Sat,Weekend
5/25/2014 23:23:00,40.7508,-73.9908,B02682,23,25,2014-05-25,May,Sun,Weekend
4/9/2014 16:16:00,40.7653,-73.9754,B02617,16,9,2014-04-09,Apr,Wed,Weekday
4/3/2014 15:22:00,40.7518,-74.0042,B02682,15,3,2014-04-03,Apr,Thu,Weekday
4/9/2014 2:45:00,40.7298,-74.0098,B02598,2,9,2014-04-09,Apr,Wed,Weekday
5/6/2014 16:57:00,40.7243,-74.0013,B02598,16,6,2014-05-06,May,Tue,Weekday
4/21/2014 19:19:00,40.7197,-74.0001,B02617,19,21,2014-04-21,Apr,Mon,Weekday
8/23/2014 12:00:00,40.746,-73.9723,B02617,12,23,2014-08-23,Aug,Sat,Weekend
7/18/2014 13:31:00,40.7603,-73.995,B02512,13,18,2014-07-18,Jul,Fri,Weekday
7/20/2014 21:21:00,40.6417,-73.7888,B02682,21,20,2014-07-20,Jul,Sun,Weekend
8/7/2014 23:24:00,40.74,-74.006,B02598,23,7,2014-08-07,Aug,Thu,Weekday
9/9/2014 18:31:00,40.7637,-73.9751,B02512,18,9,2014-09-09,Sep,Tue,Weekday
9/14/2014 0:27:00,40.7229,-73.989,B02617,0,14,2014-09-14,Sep,Sun,Weekend
8/21/2014 8:50:00,40.7687,-73.9622,B02598,8,21,2014-08-21,Aug,Thu,Weekday
9/5/2014 13:47:00,40.7656,-73.9815,B02617,13,5,2014-09-05,Sep,Fri,Weekday
9/12/2014 20:36:00,40.7482,-73.9879,B02598,20,12,2014-09-12,Sep,Fri,Weekday
4/4/2014 21:08:00,40.7227,-73.9978,B02512,21,4,2014-04-04,Apr,Fri,Weekday
5/10/2014 15:29:00,40.7411,-73.9878,B02682,15,10,2014-05-10,May,Sat,Weekend
8/13/2014 17:19:00,40.7525,-73.975,B02598,17,13,2014-08-13,Aug,Wed,Weekday
8/6/2014 13:57:00,40.756100000000004,-73.998,B02598,13,6,2014-08-06,Aug,Wed,Weekday
9/30/2014 22:17:00,40.7424,-74.0044,B02598,22,30,2014-09-30,Sep,Tue,Weekday
6/19/2014 11:44:00,40.754,-73.9643,B02617,11,19,2014-06-19,Jun,Thu,Weekday
9/3/2014 21:32:00,40.7415,-73.9783,B02682,21,3,2014-09-03,Sep,Wed,Weekday
5/4/2014 20:01:00,40.695,-73.9461,B02617,20,4,2014-05-04,May,Sun,Weekend
4/3/2014 13:51:00,40.7931,-73.974,B02682,13,3,2014-04-03,Apr,Thu,Weekday
8/13/2014 18:21:00,40.7392,-73.9924,B02617,18,13,2014-08-13,Aug,Wed,Weekday
9/23/2014 20:44:00,40.7432,-74.0083,B02617,20,23,2014-09-23,Sep,Tue,Weekday
7/16/2014 21:22:00,40.7452,-73.9888,B02598,21,16,2014-07-16,Jul,Wed,Weekday
4/8/2014 17:02:00,40.7656,-73.9802,B02682,17,8,2014-04-08,Apr,Tue,Weekday
7/2/2014 8:00:00,40.7254,-73.9763,B02682,8,2,2014-07-02,Jul,Wed,Weekday
4/7/2014 17:44:00,40.7787,-73.9618,B02682,17,7,2014-04-07,Apr,Mon,Weekday
7/9/2014 8:56:00,40.7244,-73.9787,B02617,8,9,2014-07-09,Jul,Wed,Weekday
7/31/2014 23:35:00,40.7515,-73.994,B02682,23,31,2014-07-31,Jul,Thu,Weekday
9/6/2014 10:17:00,40.7358,-73.989,B02764,10,6,2014-09-06,Sep,Sat,Weekend
6/13/2014 14:45:00,40.7582,-73.9928,B02617,14,13,2014-06-13,Jun,Fri,Weekday
6/23/2014 15:56:00,40.7283,-73.9879,B02617,15,23,2014-06-23,Jun,Mon,Weekday
9/25/2014 15:27:00,40.7259,-74.0038,B02617,15,25,2014-09-25,Sep,Thu,Weekday
7/9/2014 0:38:00,40.7067,-73.9494,B02617,0,9,2014-07-09,Jul,Wed,Weekday
9/5/2014 9:07:00,40.7126,-73.9944,B02764,9,5,2014-09-05,Sep,Fri,Weekday
7/20/2014 16:08:00,40.725,-73.9992,B02598,16,20,2014-07-20,Jul,Sun,Weekend
5/7/2014 16:41:00,40.7423,-74.0045,B02598,16,7,2014-05-07,May,Wed,Weekday
6/21/2014 23:25:00,40.6882,-73.9882,B02682,23,21,2014-06-21,Jun,Sat,Weekend
7/30/2014 19:23:00,40.7186,-74.0053,B02617,19,30,2014-07-30,Jul,Wed,Weekday
4/1/2014 12:37:00,40.7789,-73.9623,B02682,12,1,2014-04-01,Apr,Tue,Weekday
6/20/2014 7:57:00,40.7333,-73.9933,B02682,7,20,2014-06-20,Jun,Fri,Weekday
7/18/2014 14:38:00,40.7486,-73.9745,B02598,14,18,2014-07-18,Jul,Fri,Weekday
8/20/2014 17:16:00,40.7543,-73.9871,B02598,17,20,2014-08-20,Aug,Wed,Weekday
6/10/2014 21:01:00,40.7277,-74.0029,B02682,21,10,2014-06-10,Jun,Tue,Weekday
