Rank,Latitude,Longitude,Trips
1,40.76,-73.98,226692
2,40.76,-73.97,215585
3,40.74,-73.99,192517
4,40.75,-73.99,172188
5,40.72,-74,167633
6,40.75,-73.98,159776
7,40.730000000000004,-74,158561
8,40.730000000000004,-73.99,141765
9,40.74,-74,135782
10,40.76,-73.99,120829
11,40.72,-73.99,111604
12,40.72,-74.01,107974
13,40.71,-74.01,103603
14,40.74,-74.01,101066
15,40.77,-73.96000000000001,87041
16,40.74,-73.98,83703
17,40.77,-73.98,79427
18,40.730000000000004,-74.01,71880
19,40.730000000000004,-73.98,71146
20,40.75,-73.97,69997
