DayType,Hour,Total_Trips
Weekday,0,43326
Weekday,1,25023
Weekday,2,17719
Weekday,3,28148
Weekday,4,42010
Weekday,5,70686
Weekday,6,128038
Weekday,7,173352
Weekday,8,163965
Weekday,9,125897
Weekday,10,118713
Weekday,11,120129
Weekday,12,122243
Weekday,13,142824
Weekday,14,171056
Weekday,15,205585
Weekday,16,236850
Weekday,17,261825
Weekday,18,250505
Weekday,19,227467
Weekday,20,220814
Weekday,21,213667
Weekday,22,174341
Weekday,23,113850
Weekend,0,60510
Weekend,1,42204
Weekend,2,28146
Weekend,3,20139
Weekend,4,13220
Weekend,5,13253
Weekend,6,15175
Weekend,7,19742
Weekend,8,26539
Weekend,9,34070
Weekend,10,40435
Weekend,11,45574
Weekend,12,48209
Weekend,13,53053
Weekend,14,59569
Weekend,15,69881
Weekend,16,76550
Weekend,17,74365
Weekend,18,74174
Weekend,19,67046
Weekend,20,63790
Weekend,21,67793
Weekend,22,67517
Weekend,23,55340
