Weekday,Hour,Total_Trips
Mon,0,6436
Mon,1,3737
Mon,2,2938
Mon,3,6232
Mon,4,9640
Mon,5,15032
Mon,6,23746
Mon,7,31159
Mon,8,29265
Mon,9,22197
Mon,10,20288
Mon,11,20333
Mon,12,20488
Mon,13,23385
Mon,14,28157
Mon,15,32744
Mon,16,38770
Mon,17,42023
Mon,18,37000
Mon,19,34159
Mon,20,32849
Mon,21,28925
Mon,22,20158
Mon,23,11811
Tue,0,6237
Tue,1,3509
Tue,2,2571
Tue,3,4494
Tue,4,7548
Tue,5,14241
Tue,6,26872
Tue,7,36599
Tue,8,33934
Tue,9,25023
Tue,10,23676
Tue,11,23679
Tue,12,23850
Tue,13,29075
Tue,14,34846
Tue,15,41338
Tue,16,48667
Tue,17,55500
Tue,18,50186
Tue,19,44789
Tue,20,44661
Tue,21,39913
Tue,22,27712
Tue,23,14869
Wed,0,7644
Wed,1,4324
Wed,2,3141
Wed,3,4855
Wed,4,7511
Wed,5,13794
Wed,6,26943
Wed,7,36495
Wed,8,33826
Wed,9,25635
Wed,10,24696
Wed,11,24963
Wed,12,25533
Wed,13,29183
Wed,14,35148
Wed,15,43388
Wed,16,50684
Wed,17,55637
Wed,18,52732
Wed,19,47017
Wed,20,47772
Wed,21,44553
Wed,22,32868
Wed,23,18146
Thu,0,9293
Thu,1,5290
Thu,2,3719
Thu,3,5637
Thu,4,8505
Thu,5,14169
Thu,6,27065
Thu,7,37038
Thu,8,35431
Thu,9,27812
Thu,10,25877
Thu,11,25966
Thu,12,26465
Thu,13,30840
Thu,14,36699
Thu,15,44442
Thu,16,50560
Thu,17,56704
Thu,18,55825
Thu,19,51907
Thu,20,51990
Thu,21,51953
Thu,22,44194
Thu,23,27764
Fri,0,13716
Fri,1,8163
Fri,2,5350
Fri,3,6930
Fri,4,8806
Fri,5,13450
Fri,6,23412
Fri,7,32061
Fri,8,31509
Fri,9,25230
Fri,10,24176
Fri,11,25188
Fri,12,25907
Fri,13,30341
Fri,14,36206
Fri,15,43673
Fri,16,48169
Fri,17,51961
Fri,18,54762
Fri,19,49595
Fri,20,43542
Fri,21,48323
Fri,22,49409
Fri,23,41260
Sat,0,27633
Sat,1,19189
Sat,2,12710
Sat,3,9542
Sat,4,6846
Sat,5,7084
Sat,6,8579
Sat,7,11014
Sat,8,14411
Sat,9,17669
Sat,10,20596
Sat,11,22718
Sat,12,24298
Sat,13,26636
Sat,14,31418
Sat,15,38769
Sat,16,43512
Sat,17,42844
Sat,18,45883
Sat,19,41098
Sat,20,38714
Sat,21,43826
Sat,22,47951
Sat,23,43174
Sun,0,32877
Sun,1,23015
Sun,2,15436
Sun,3,10597
Sun,4,6374
Sun,5,6169
Sun,6,6596
Sun,7,8728
Sun,8,12128
Sun,9,16401
Sun,10,19839
Sun,11,22856
Sun,12,23911
Sun,13,26417
Sun,14,28151
Sun,15,31112
Sun,16,33038
Sun,17,31521
Sun,18,28291
Sun,19,25948
Sun,20,25076
Sun,21,23967
Sun,22,19566
Sun,23,12166
